sentence	obligation	reporting_entity	target_entity	frequency	deadline
(a) Only Article 4a of the Regulation shall apply, subject to implementation measures as provided for in Article 4b and adopted in accordance with the provisions of the Agreement.	0	-	-	-	-
24) Variable 310206: Survivals of enterprises having at least one employee (only for enterprises having survived for three calendar years)	0	-	-	-	-
Originating products made up of materials wholly obtained or sufficiently worked or processed in two or more CARIFORUM States shall be considered as products originating in the CARIFORUM State where the last working or processing took place, provided the working or processing carried out there goes beyond that referred to in Article 8 of this Protocol.	0	-	-	-	-
Member States shall notify the Commission by 28 February each year of data for the preceding calendar year on the following export competition measures applied by them:. (a) export financing support (export credits, export credit guarantees or insurance programmes);. (b) international food aid;. (c) agricultural exporting state trading enterprises.	1	Member States	the Commission	annually	28-02-?
The Member States shall inform the Commission, not later than 31 May each year, of the quantities of dried fodder in respect of which entitlement to the aid was recognised during the previous marketing year.For the 2005/06 and 2006/07 marketing years, these quantities shall not include the quantities referred to in Articles 34 and 34a.	1	The Member States	the Commission	annually	31-05-?
This is the amount of the initial funds, members' contributions or the equivalent basic own fund item for mutual and mutual–type undertakings that meets the criteria for Tier 1 unrestricted.	0	-	-	-	-
ESMA shall determine whether the class of derivatives or relevant subset thereof is only sufficiently liquid in transactions below a certain size.	0	-	-	-	-
The Netherlands shall inform the Commission, within two months of the notification of this Decision, of the measures taken to comply with it.	1	The Netherlands	the Commission	-	within two months
advise the flag State on the provisions in Chapters VI and VII.	0	-	-	-	-
is a member having unlimited liability of that undertaking concerned, and	0	-	-	-	-
main approaches, methodologies and tools, and associated uncertainties and challenges.	0	-	-	-	-
(3) The Commission decision to initiate the procedure was published in the Official Journal of the European Communities(5).	0	-	-	-	-
the performance of the financial instrument including progress in its set-up and in selection of bodies implementing the financial instrument, including the body implementing a fund of funds;	0	-	-	-	-
This Agreement shall terminate at midnight GMT at the end of the International Air Transport Association (IATA) traffic season in effect one year following the date of written notification of termination, unless the notice is withdrawn by agreement of the Parties before the end of this period.	0	-	-	-	-
Where the details set out in Section 1 of Annex IV to this Regulation are also prescribed under Articles 25 and 26 of Regulation (EU) No 600/2014, these details should be maintained in a consistent way and according to the same standards prescribed under Articles 25 and 26 of Regulation (EU) No 600/2014.	0	-	-	-	-
coordinate all activities of the resolution college;	0	-	-	-	-
inancial undertakings may use estimates for assessing the Taxonomy-alignment of their exposures to undertakings referred to in paragraph (6), points (e) and (f), where those financial undertakings are able to demonstrate compliance with all criteria of Article 3 of Regulation (EU) 2020/852, except with the criteria laid down in Article 3, point (b) of that Regulation.	0	-	-	-	-
For this purpose, at the request of any affected Member State, the Group shall provide its good offices to resolve any problem or dispute between Member States, as well as with third countries, in relation to cross-border coordination or cross-border harmful interference which prevent Member States from using radio spectrum in their territory.	0	-	-	-	-
Should a member of the mixed committee be unable to attend a particular meeting then, in respect of that meeting, he may nominate a replacement from the organization or association which he represents.	0	-	-	-	-
If the guarantee is to be provided in the form of a bank guarantee, a banker's draft, a certified cheque or a bond, it shall be issued by a bank or bonding and/or insurance company approved by the contracting authority in accordance with the eligibility criteria applicable for the award of the contract.	0	-	-	-	-
The references of the harmonised standards for active implantable medical devices drafted in support of Directive 90/385/EEC and listed in Annex I to this Decision are hereby published in the Official Journal of the European Union.	0	-	-	-	-
Member States shall submit to the Commission, by 15 June of each year for the preceding year, a national report on their compliance scheme and actions taken to implement IATTC measures, including any controls they have imposed on their fleets and any monitoring, control and compliance measures they have established to ensure compliance with such controls.	1	Member States	the Commission	annually	15-06-?
(CETO-flag as defined in Annex III.B may be applied):	0	-	-	-	-
Member States shall, by 30 April of each year, communicate to the other Member States and the Commission the time and results of the checks referred to in paragraphs 1 and 2 carried out during the preceding year.	1	Member States	the other Member States and the Commission	annually	30-04-?
EBA shall, after consulting ESMA and the ECB, by 31 December 2013, report to the Commission on appropriate uniform definitions of high and of extremely high liquidity and credit quality of transferable assets for the purposes of Article 416 and appropriate haircuts for assets that would qualify as liquid assets for the purposes of Article 416, with the exception of assets referred to in points (a), (b) and (c) of Article 416(1).	1	EBA	the Commission	-	31-12-2013
archives, including sound, photographic and cinematographic archives;	0	-	-	-	-
the time limits within which the amicable settlement procedure may be invoked after the time that the dispute is notified to the other party and the maximum time limit within which such settlement may be reached, provided that the time limit prescribed for reaching such.	0	-	-	-	-
The programmes for the eradication of scrapie presented by Belgium, the Czech Republic, Denmark, Germany, Estonia, Greece, Spain, France, Ireland, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, the Netherlands, Austria, Portugal, Slovenia, Slovakia, Finland, Sweden and the United Kingdom are hereby approved for the period from 1 January 2006 to 31 December 2006.	0	-	-	-	-
Representatives from intergovernmental organisations and non-governmental organisations concerned with matters relevant to the implementation of this Convention shall be afforded the opportunity to participate in the meetings of the Commission and its subsidiary bodies as observers or otherwise as appropriate.	0	-	-	-	-
The amount referred to in paragraph 1 of this Article may be used to finance support measures for the implementation of IPA III, such as preparatory, monitoring, control, audit and evaluation activities, including corporate information technology systems, in accordance with Article 24 of Regulation (EU) 2021/947.	0	-	-	-	-
Member States shall make available to the Commission by 31 January of each year the following information concerning the previous calendar year:. (a) the inspection and surveillance activities set out in Annex I;. (b) all infringements, as referred to in Annex II, detected during the twelve-month period including, for each infringement, the flag of the vessel, the date and location of the inspection and the nature of the infringement; Member States shall indicate the nature of the infringement by references to the letter under which they are listed in Annex II;. (c) the state of follow-up of infringements, as referred to in Annex II, whether detected during the previous calendar year or earlier;. (d) any relevant coordination and cooperation actions between Member States.	1	Member States	the Commission	annually	31-01-?
A movement certificate EUR.1 shall be issued by the customs authorities of the exporting country on application having been made in writing by the exporter or, under the exporter's responsibility, by his authorized representative.	0	-	-	-	-
An NCA in close cooperation shall take all necessary measures to comply with the ECB’s instructions, requests or guidelines and it shall inform the ECB without undue delay of the measures it has taken.	1	An NCA	the ECB	-	-
The Committee shall, by 30 April of each year, submit to the European Parliament and to the Council a detailed report on the reimbursement of travelling expenses and allowances paid to beneficiaries in the preceding year.	1	The Committee	the European Parliament and the Council	annually	30-04-?
The Agency shall report regularly to the Council on its activities, and shall in particular:. (a) submit to the Council in November each year a report on the Agency's activities for that year;. (b) subject to a Council decision on the establishment of permanent structured cooperation, submit to the Council at least once a year information on the Agency's contribution to the assessment activities in the context of permanent structured cooperation, referred to in point (f)(ii) of Article 5(3).	1	The Agency	the Council	annually	30-11-?
On the first day of each month until 1 October 2017, Member States shall notify the Commission of the following information for each product:. (a) the quantities withdrawn for free distribution;. (b) the quantities withdrawn for destinations other than free distribution;. (c) the equivalent area for green harvesting and non-harvesting;. (d) the total expenditure incurred for the quantities and areas referred to in points (a), (b) and (c).	1	Member States	the Commission	monthly	-
By 18 November 2026, and every 2 years thereafter, the Commission shall submit a report to the European Parliament and to the Council on its assessment of the list of occupations in Annex I, taking into account the changing needs of the labour market.	1	the Commission	the European Parliament;the Council	biannually	18-11-2026
Eurojust, the Administrative Director and the members of the College and Executive Board shall, without delay and without their responsibility being called into question as a result, notify OLAF and the EPPO	1	Eurojust, the Administrative Director and the members of the College and Executive Board	OLAF and the EPPO	-	-
the insurer may cancel the contract only within a fixed period determined by the Member State in which the risk is situated;	0	-	-	-	-
The Commission shall, by 12 June 2027 and every five years thereafter, submit a report to the European Parliament and to the Council assessing the effectiveness of this Directive, in particular its impact on law enforcement cooperation, the obligations laid down in Article 14(3), point (a)(iii), and the protection of personal data.	1	The Commission	the European Parliament and the Council	every five years	12-06-2027
Amount of the capital requirement for duration–based equity risk sub–module.	0	-	-	-	-
On the basis of the information provided by the Member States in accordance with Article 7 and the results of the assessment referred to in Article 8, the Commission shall by 27 December 2023 and every three years thereafter, transmit to the European Parliament and to the Council a report on the state of play and progress on prevention, preparedness and response planning at Union level.	1	the Commission	the European Parliament and the Council	every three years	27-12-2023
The Commission, in cooperation with the Member States, shall report each year to the European Parliament and to the Council on the measures taken in implementation of this Regulation.	1	The Commission	the European Parliament and the Council	annually	-
The register established by the Commission in accordance with Article 5 of Regulation (EU) No 511/2014 shall include the following information for each collection or part thereof:. (a) a registration code assigned by the Commission;. (b) name given to the collection or part thereof and its contact details;. (c) name and contact details of the holder;. (d) category of the collection or part thereof;. (e) short description of the collection or part thereof;. (f) link to database, where available;. (g) institution within competent authority of the Member State that verified the capacity of the collection to comply with Article 5(3) of Regulation (EU) No 511/2014;. (h) date of inclusion in the register;. (i) other existing identifier, where available;. (j) where applicable, date of removal from the register.	0	-	-	-	-
Capital requirement for other financial sectors (Non-insurance capital requirements) — Institutions for occupational retirement provisions	0	-	-	-	-
For the purposes of Article 53 of Regulation (EU) No 1151/2012, applications for approval of a standard amendment to a product specification shall be submitted to the authorities of the Member State in whose territory the geographical area of the product concerned is located.	1	-	the authorities of the Member State	-	-
By way of derogation from Article 6, first reporting pursuant to this Regulation shall start in June 2015 with statistical information relating to the reference period of the second half of the calendar year 2014 (i.e. as of July 2014).	1	-	-	-	?-06-2015
whether the amount set out in Article 21(7) remains appropriate to pursue the objectives of this Regulation;	0	-	-	-	-
(384) Following its assessment of the compatibility of the exemption of ETBE in France, the Commission considers that the exemption may be granted the derogation provided for in Article 87(3)(c) as being aid to facilitate the development of certain activities where such aid does not adversely affect trading conditions to an extent contrary to the common interest, having regard to the fact that, by Decision 2002/266/EC, the Council authorised France to apply a differentiated rate of excise duty to biofuels in accordance with Article 8(4) of Directive 92/81/EEC.	0	-	-	-	-
For the purposes of paragraph 1, trading venues shall make available to the firms concerned, on request, estimates of the average number of messages per second on a monthly basis two weeks after the end of each calendar month, thereby taking into account all messages submitted during the preceding 12 months.	1	trading venues	the firms concerned	monthly	two weeks after the end of each calendar month
a cost-benefit analysis, including an economic and a financial analysis, and a risk assessment;	0	-	-	-	-
The audited figures shall be submitted to ESMA no later than 30 September each year.	1	The audited figures	ESMA	annually	30-09-?
In any event, the consultations within the Association Council shall be deemed to be completed 30 days after the notification referred to in the fourth subparagraph of paragraph 1 and in paragraph 3.	0	-	-	-	-
Aid applications for a calendar year shall be submitted to the office designated by the competent authorities of the Member State in accordance with the specimens drawn up by the latter and within the periods they have laid down.	1	-	the office designated by the competent authorities of the Member State	-	-
Romania shall inform the Commission by 30 March 2021, and every six months thereafter, of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	Romania	the Commission	semiannually	30-03-2021
Member States shall submit to the Commission, by 20 April of each year, scientific data in accordance with the applicable WCPFC reporting requirements with respect to scientific data and, by 15 June of each year, an annual report on the implementation of this Regulation that complies with the WCPFC reporting requirements under the CMMs, including on any checks they have imposed on their fleets and any monitoring, control and compliance measures they have established to ensure compliance with such checks.	1	Member States	the Commission	annually	20-04-?
Where the sponsor does not provide additional information within the period set by the reporting Member State in accordance with the third subparagraph, the application shall be deemed to have lapsed in the additional Member State concerned.	0	-	-	-	-
the fair and equal treatment of third-country nationals;	0	-	-	-	-
